double,
50,1.000000,0.000000,
48,1.000000,0.000000,
46,1.000000,0.000000,
44,1.000000,0.000000,
42,1.000000,0.000000,
40,1.000000,0.000000,
38,1.000000,0.000000,
36,1.000000,0.000000,
34,1.000000,0.000000,
32,1.000000,0.000000,
30,1.000000,0.000000,
28,1.000000,0.000000,
26,1.000000,0.000000,
24,1.000000,0.000000,
22,1.000000,0.000000,
20,1.000000,0.000000,
18,1.000000,0.000000,
16,1.000001,0.000001,
14,1.000001,0.000001,
12,1.000002,0.000002,
10,1.000003,0.000003,
8,1.000008,0.000008,
6,1.000026,0.000026,
4,1.000135,0.000135,
2,1.002280,0.002280,

float,
50,1.000000,0.000000,
48,1.000000,0.000000,
46,1.000000,0.000000,
44,1.000000,0.000000,
42,1.000000,0.000000,
40,1.000000,0.000000,
38,1.000000,0.000000,
36,1.000000,0.000000,
34,1.000000,0.000000,
32,1.000000,0.000000,
30,1.000000,0.000000,
28,1.000000,0.000000,
26,1.000000,0.000000,
24,1.000000,0.000000,
22,1.000000,0.000000,
20,1.000000,0.000000,
18,1.000000,0.000000,
16,1.000001,0.000001,
14,1.000001,0.000001,
12,1.000002,0.000002,
10,1.000003,0.000003,
8,1.000008,0.000008,
6,1.000026,0.000026,
4,1.000135,0.000135,
2,1.002280,0.002280,