1, 0.100000, 1.105171
2, 0.200000, 1.221403
3, 0.300000, 1.349858
4, 0.400000, 1.491824
5, 0.500000, 1.648721
6, 0.600000, 1.822118
7, 0.700000, 2.013752
8, 0.800000, 2.225540
9, 0.900000, 2.459601
10, 1.000000, 2.718280

1, 0.050000, 1.051271
2, 0.100000, 1.105171
3, 0.150000, 1.161834
4, 0.200000, 1.221403
5, 0.250000, 1.284025
6, 0.300000, 1.349859
7, 0.350000, 1.419068
8, 0.400000, 1.491825
9, 0.450000, 1.568312
10, 0.500000, 1.648721
11, 0.550000, 1.733253
12, 0.600000, 1.822119
13, 0.650000, 1.915541
14, 0.700000, 2.013753
15, 0.750000, 2.117000
16, 0.800000, 2.225541
17, 0.850000, 2.339647
18, 0.900000, 2.459603
19, 0.950000, 2.585710
20, 1.000000, 2.718282

1, 0.025000, 1.025315
2, 0.050000, 1.051271
3, 0.075000, 1.077884
4, 0.100000, 1.105171
5, 0.125000, 1.133148
6, 0.150000, 1.161834
7, 0.175000, 1.191246
8, 0.200000, 1.221403
9, 0.225000, 1.252323
10, 0.250000, 1.284025
11, 0.275000, 1.316531
12, 0.300000, 1.349859
13, 0.325000, 1.384031
14, 0.350000, 1.419068
15, 0.375000, 1.454991
16, 0.400000, 1.491825
17, 0.425000, 1.529590
18, 0.450000, 1.568312
19, 0.475000, 1.608014
20, 0.500000, 1.648721
21, 0.525000, 1.690459
22, 0.550000, 1.733253
23, 0.575000, 1.777131
24, 0.600000, 1.822119
25, 0.625000, 1.868246
26, 0.650000, 1.915541
27, 0.675000, 1.964033
28, 0.700000, 2.013753
29, 0.725000, 2.064731
30, 0.750000, 2.117000
31, 0.775000, 2.170592
32, 0.800000, 2.225541
33, 0.825000, 2.281881
34, 0.850000, 2.339647
35, 0.875000, 2.398875
36, 0.900000, 2.459603
37, 0.925000, 2.521868
38, 0.950000, 2.585710
39, 0.975000, 2.651167
40, 1.000000, 2.718282